document_id,title,organization,topic,url,retrieved_date,notes
who_diabetes,Diabetes,World Health Organization,diabetes,https://www.who.int/news-room/fact-sheets/detail/diabetes,2026-09-02,WHO fact sheet
who_cvd,Cardiovascular diseases (CVDs),World Health Organization,cardiovascular disease,https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases-%28cvds%29,2026-09-02,WHO fact sheet
who_obesity,Obesity and overweight,World Health Organization,obesity,https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight,2026-09-02,WHO fact sheet
who_healthy_diet,Healthy diet,World Health Organization,nutrition,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,2026-09-02,WHO fact sheet
